,username,raw_text
41,turtlephotos,#nomask #novax #NoNewNormal #nocompliance #FakeNews #FakeNewsMedia #whoremedia wall off Cali let it go back to nature just like Puerto Rico and Minneapolis sucking up all our resources #Trump2020
41,SGT_Z_,Can't give something I don't have. Stop driving if you're that paranoid about safety. #NoMask
8,N3vermore,The mask-wearing libtards are extra triggered today. #NoMask #scamdemic #fuckcovid #MSMIsTheEnemyOfThePeople
40,bulletzandboots,That racist virus.... or perhaps the Type II diabetes co morbidity. Diet and exercise. Get out in the sun. #nomask Stop with the fear and breathless drama
147,RamzaBehoulve,#coronavirus #COVID19 #COVID #Masks4All #mask #masks #nomask #nomasks #Hydroxychloroquine #facts #factsmatter #COVIDIOTS #REOPENSCHOOLS #OpenSchools #Covid_19 #COVIDー19 #Casedemic #pandemic #FactsNotFear
6,rick_limer,Masks are a monstrous imposition Say those of a Brexit-y disposition They’ve come out in hives For being asked to save lives Sorry to wake you from this position... #NoMask 
6,TheBoxThatRoxx,The #woke leftist Hollywood dummies are going to have a really hard time defending #maskpropaganda when it’s time to start shooting their movies and TV shows again. After all how will they “act” covered with a mask? #ThinkForYourself #NoMask #MaskNazis #CoronavirusHoax
